prix_maj;prix_valeur;prix_nom
2024-01-03T09:30:00+01:00;0.849;E85
;;
;;
2024-01-05T20:27:47+01:00;1.02;E85
;;
;;
;;
;;
;;
2024-01-13T04:03:00+01:00;0.964;E85
2024-01-15T20:31:00+01:00;0.999;E85
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.929;GPLc
;;
;;
;;
2024-01-04T14:30:00+01:00;0.959;E85
;;
;;
2024-01-09T09:37:17+01:00;1.0;E85
;;
;;
;;
;;
;;
2024-01-15T23:36:00+01:00;0.976;E85
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
2024-01-15T12:17:06+01:00;0.848;E85
;;
;;
2024-01-16T08:51:00+01:00;0.95;GPLc
;;
;;
;;
;;
;;
2024-01-12T10:38:46+01:00;0.949;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:34:29+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
2023-07-24T16:29:02+02:00;1.199;E85
2024-01-15T01:01:00+01:00;0.919;E85
2024-01-16T00:59:00+01:00;0.981;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
2023-12-07T14:35:00+01:00;1.049;GPLc
;;
;;
;;
;;
;;
;;
2024-01-11T07:00:00+01:00;1.104;E85
2024-01-15T20:31:00+01:00;0.999;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-11T17:24:47+01:00;0.908;E85
;;
2024-01-15T01:01:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T19:58:06+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.919;E85
;;
2024-01-04T10:12:52+01:00;0.849;E85
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-08T10:00:00+01:00;0.848;E85
;;
2024-01-12T09:30:25+01:00;0.915;E85
;;
;;
2024-01-09T13:37:21+01:00;0.859;E85
;;
;;
;;
2024-01-15T08:02:53+01:00;0.848;E85
2024-01-08T09:32:57+01:00;0.939;E85
;;
;;
;;
;;
2024-01-12T20:00:00+01:00;0.999;E85
;;
;;
2024-01-11T18:43:49+01:00;0.848;E85
;;
;;
;;
;;
2024-01-16T14:37:00+01:00;0.938;E85
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-03T10:00:00+01:00;1.09;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T10:10:00+01:00;0.888;E85
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
2024-01-13T09:58:54+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-04T11:09:39+01:00;0.849;E85
;;
;;
2024-01-15T23:36:00+01:00;0.93;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-10T09:34:16+01:00;0.929;E85
;;
;;
2024-01-16T10:30:00+01:00;1.101;GPLc
;;
;;
;;
2024-01-03T09:16:00+01:00;0.849;E85
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T10:33:00+01:00;0.875;E85
2024-01-12T20:14:12+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
