,prix_maj,prix_valeur,prix_nom
2937,2024-01-02 18:54:28+00:00,0.999,E85
2957,2023-08-04 18:46:32+00:00,0.963,GPLc
2961,2024-01-15 08:43:49+00:00,0.94,E85
2970,2024-01-15 19:31:00+00:00,0.949,GPLc
2975,2024-01-16 10:18:59+00:00,0.848,E85
2984,2024-01-15 19:31:00+00:00,0.899,E85
2987,2024-01-05 08:30:18+00:00,0.848,E85
2993,2024-01-15 19:31:00+00:00,0.949,GPLc
2999,2024-01-15 19:31:00+00:00,0.899,E85
3005,2024-01-16 09:30:00+00:00,1.408,GPLc
3019,2024-01-11 06:00:00+00:00,1.083,GPLc
3022,2024-01-15 19:31:00+00:00,0.899,E85
3034,2024-01-13 08:03:58+00:00,0.848,E85
3049,2024-01-15 19:31:00+00:00,0.919,E85
3062,2024-01-16 09:30:00+00:00,1.408,GPLc
3063,2024-01-15 19:31:00+00:00,0.919,E85
3080,2024-01-09 08:28:51+00:00,1.0,E85
3087,2024-01-15 19:31:00+00:00,0.959,GPLc
3089,2023-11-27 11:07:33+00:00,0.999,E85
3091,2024-01-12 08:49:53+00:00,0.935,E85
3092,2024-01-04 09:00:00+00:00,0.848,E85
3097,2024-01-15 06:56:00+00:00,0.969,GPLc
3107,2024-01-04 08:57:38+00:00,0.848,E85
3114,2023-11-20 15:11:12+00:00,1.069,E85
3121,2023-12-24 08:46:08+00:00,0.998,GPLc
3124,2024-01-15 11:51:00+00:00,1.054,GPLc
3128,2023-12-30 08:29:25+00:00,0.985,GPLc
3131,2024-01-16 08:27:00+00:00,0.857,E85
3163,2024-01-15 19:31:00+00:00,0.899,E85
3166,2024-01-16 07:41:44+00:00,0.848,E85
3170,2023-12-15 08:12:08+00:00,0.989,GPLc
3181,2023-03-22 06:00:00+00:00,1.194,GPLc
3182,2024-01-01 23:59:00+00:00,1.055,E85
3194,2023-12-29 08:20:04+00:00,0.999,E85
3204,2024-01-15 23:57:00+00:00,0.981,E85
3205,2023-12-15 11:57:42+00:00,0.999,E85
3216,2024-01-04 18:44:12+00:00,0.919,E85
3224,2023-12-06 20:00:00+00:00,0.981,E85
3225,2023-12-06 07:05:37+00:00,0.987,GPLc
3228,2023-12-14 09:03:46+00:00,0.958,E85
3233,2024-01-16 09:40:08+00:00,0.984,GPLc
3247,2024-01-12 08:44:59+00:00,0.949,GPLc
3250,2024-01-16 07:48:36+00:00,0.952,E85
3252,2024-01-05 07:11:09+00:00,0.919,E85
3259,2024-01-11 20:22:55+00:00,0.912,GPLc
3262,2023-12-26 09:59:07+00:00,0.898,E85
3264,2024-01-08 09:04:12+00:00,0.848,E85
3266,2024-01-06 12:28:36+00:00,0.919,E85
3273,2024-01-08 07:15:00+00:00,0.899,E85
3274,2024-01-05 07:50:24+00:00,0.919,E85
3276,2024-01-03 08:46:12+00:00,0.909,E85
3277,2023-09-01 10:00:00+00:00,0.938,GPLc
3299,2023-12-07 05:53:18+00:00,0.985,GPLc
3302,2024-01-16 09:33:00+00:00,0.875,E85
3307,2024-01-16 05:46:00+00:00,0.899,E85
3314,2024-01-05 06:55:49+00:00,0.919,E85
3316,2024-01-15 19:31:00+00:00,0.999,E85
3323,2024-01-15 06:59:12+00:00,0.939,E85
3330,2024-01-15 19:31:00+00:00,0.919,E85
